47,"30 Mott St, New York, NY 10013",POINT (-73.9985581 40.71471529999999),40.7147153,-73.9985581,Silk Road Cafe
48,"315 5th Ave New York, NY 10016",POINT (-73.9851941 40.7468929),40.7468929,-73.9851941,Smoocha Tea & Juice Bar
49,"135 Walker St, New York, NY 10013",POINT (-73.9993518 40.7172918),40.7172918,-73.9993518,Sweets
50,"11 Pell St, New York, NY 10013",POINT (-73.99786750000001 40.7146312),40.7146312,-73.9978675,Taiwan Bear House
51,"2878 Broadway New York, NY 10025",POINT (-73.96561 40.8052106),40.8052106,-73.96561,Tea Magic
52,"73 Mott St New York, NY 10013",POINT (-73.998228 40.7163822),40.7163822,-73.998228,Tea Ren Tea
53,"145D Hester St New York, NY 10002",POINT (-73.9949616 40.71721429999999),40.7172143,-73.9949616,Teado Tea Shop
54,"2794 Broadway, New York, NY 10025",POINT (-73.96733429999999 40.8027098),40.8027098,-73.9673343,TeaTime
55,"170 W 23rd St, New York, NY 10011",POINT (-73.9953177 40.7436585),40.7436585,-73.9953177,Vivi Bubble Tea
56,"18 W 14th St New York, NY 10011",POINT (-73.99491990000001 40.73624270000001),40.7362427,-73.9949199,Vivi Bubble Tea
57,"183 Hester St New York, NY 10013",POINT (-73.99741589999999 40.7181288),40.7181288,-73.9974159,Vivi Bubble Tea
58,"205 Allen St New York, NY 10002",POINT (-73.9890752 40.72274880000001),40.7227488,-73.9890752,Vivi Bubble Tea
59,"226 E 14th St New York, NY 10003",POINT (-73.98620609999999 40.7326152),40.7326152,-73.9862061,Vivi Bubble Tea
60,"607 9th Ave, New York, NY 10036",POINT (-73.99235 40.75936799999999),40.759368,-73.99235,Vivi Bubble Tea
61,"65 W 8th St New York, NY 10011",POINT (-73.99921499999999 40.7335934),40.7335934,-73.999215,Vivi Bubble Tea
62,"49 Bayard St New York, NY 10013",POINT (-73.9975309 40.7151057),40.7151057,-73.9975309,Vivi Bubble Tea
63,"2 E Broadway New York, NY 10038",POINT (-73.99752649999999 40.7136156),40.7136156,-73.9975265,Vivi Bubble Tea
64,"348 7th Avenue, New York, NY 10001",POINT (-73.9930281 40.7481179),40.7481179,-73.9930281,VLife
65,"206 Grand St New York, NY 10013",POINT (-73.9963099 40.7191263),40.7191263,-73.9963099,Yaya Tea Garden
66,"18 E 41st St, New York, NY 10017",POINT (-73.98048589999999 40.75218570000001),40.7521857,-73.9804859,Cafe Zaiya
67,"1095 Saint Nicholas Avenue, New York, NY",POINT (-73.9401096 40.8383524),40.8383524,-73.9401096,Rain II
